,Florida,California,Pennsylvania,Texas,Virginia,New York,Massachusetts,Colorado,Connecticut,Arizona,Utah,Illinois,the District of Columbia,New Jersey,Michigan,North Carolina,New Hampshire,Wyoming,Maryland,Maine,Washington,Idaho,Oregon,Georgia,Iowa,Missouri,Indiana,Minnesota,North Dakota,Nevada,Delaware,Montana,Louisiana,Hawaii,Rhode Island,Vermont,Alabama,Tennessee,Wisconsin,South Carolina,Nebraska,New Mexico,Ohio,Kentucky,Alaska,West Virginia,Kansas,Mississippi,South Dakota,Oklahoma,Arkansas
2014-02-01,161881.1847527496,379709.9937133663,162516.58646966374,152205.15406911008,236681.92680099394,271349.6402416755,331815.73716584634,255121.84641232932,245320.65181344285,190780.61049847794,226965.81297844718,161013.28105127867,451857.0387944172,296136.67794175184,120259.17534123639,157603.73122568196,223219.1184735645,216829.78813905033,269949.08052493515,187602.8693593633,257625.32443075938,178353.98896351512,237414.781366433,144010.47070652767,131920.82385847403,131142.23698560236,119524.47999570769,190294.0077023066,209115.13763357035,187901.47753008464,229211.00073631972,201281.9315426324,167781.71419251687,468826.4631627244,227942.26326852944,235465.51252254748,134891.27847971793,145893.4761048696,162822.50981788916,149113.64726789776,138997.79500646688,168199.64076340283,118733.45137418853,111302.41422169642,269160.9159824398,104186.9265661835,124503.29264532689,117568.7955638679,167930.4783864447,118391.5518955295,125993.0055727754
2014-03-01,163458.9044845753,382167.00205122767,162618.30756552916,153366.6616229892,237175.03260852981,272358.13889412355,333281.8680678111,256379.8019034197,245713.95219347728,192070.1958572783,227821.4863343117,161841.6817569041,454471.3526338753,298367.0943818743,121162.7269919607,158143.6436466437,223828.70595634534,216930.94152447197,271298.62859474047,187750.96914310424,259184.8586169953,179162.4565313227,239028.21812589615,145164.21146348864,132175.33581374228,131240.6676067547,119771.68130834679,191483.7637063748,209444.235052497,189470.69473382423,229659.7647715553,202128.97977249706,167630.28368772272,471718.2495657977,228718.8529322146,235888.92138252148,135288.4509299277,146417.80141210012,163543.55481174414,149664.3232969312,139214.93729116334,168771.69901713132,118883.96756515438,111358.33213018316,268638.4760770044,103449.82849250872,124446.19500309858,117893.38837457984,167993.2193410728,118406.59949330549,126246.41438045287
2014-04-01,164863.89696210137,385163.4670543135,162872.96638466284,154376.31017204502,237755.90254425412,273532.022556233,334821.664512727,257823.788144803,246253.31184286822,193036.76698262265,228559.19929181287,162687.82601407196,457758.1414790407,300551.1688982015,122187.2181271611,158707.13814766638,224405.47501504025,217129.4656320603,272765.1301533608,188019.82862186246,260564.31225670103,180019.00449898987,240614.35077859144,146346.3276969868,132696.20856696405,131501.33338853533,120214.8344029169,192568.2310948862,209834.35873512886,191363.28538366593,229543.51130095843,202889.97684610236,167700.108433667,474740.2226965797,229989.8260507566,236179.6297459308,135688.47775779283,147073.49606963873,164347.39578659946,150235.76360464742,139627.36321779335,169153.63759414013,119293.87826774713,111615.0511116534,269041.0737909679,102847.27163088576,124515.837592966,118213.18905767902,168064.81411027804,118536.98672898313,126450.60970685437
2014-05-01,166249.6953089004,388361.00653729634,163338.2704357746,155399.06003475087,238657.20672060226,274927.54571411555,336585.997207279,259379.7718815858,247029.4755219346,193821.93574807022,229486.89227445354,163561.2693246329,460655.15505420975,302622.60692861205,123202.483563205,159298.3968068521,225309.53623903354,217780.8110640346,274035.2338305296,188717.59575594147,262056.45702511552,181066.7490686907,242404.99555227268,147557.79665103115,133435.70176821406,132070.79425689747,120832.23270307876,193556.8515840522,210458.3829470336,193267.72060728274,229937.59098767067,203912.13047531593,167935.59632197232,478055.98480693897,231354.50913173353,236969.75180280753,136053.95736472725,147834.5614858473,165162.80929204592,150806.2397114368,140201.25915495257,169723.0186926617,120007.7891957027,112092.53728682059,269949.3785837594,102216.41920306964,124935.55312763137,118681.05384429696,168413.0043507963,118863.43226762199,126755.61555711397
2014-06-01,167398.10745115005,390994.23342514783,163830.11382533555,156437.4374945136,239274.72219304796,275890.1353284151,337940.6804787322,260962.44622312556,247475.0119474371,194381.02011920078,230098.89052826024,164494.54203826276,463485.74103853974,303852.0018334954,124357.54895893928,159798.48602975518,226104.87503326518,218306.61092381645,274767.58664186206,189528.689243988,263145.7095818082,181869.42912635603,243839.64031779263,148572.1137283583,134228.66445029745,132800.68689358872,121500.1872905986,194170.74855326637,211388.6838298977,195450.36102884353,230222.86785590288,204719.8274558582,168538.22417586204,480800.43015622,232207.25769065556,237682.20600309805,136321.62621144523,148640.260879104,165822.23798695297,151371.64169420232,140796.93770443046,170031.12118397522,120773.3325243354,112798.12566050487,270414.6782594248,102142.02784568006,125487.80679151719,119342.97987634414,168908.00990021144,119411.97466353419,127185.23709185534
2014-07-01,168581.25080379355,392725.62654756475,164341.78790981416,157619.9475643595,239738.3684834518,276682.3580369293,338900.90116140293,262631.72308176337,247664.2427486108,194872.70417140552,230721.885001794,165528.48897467807,466417.51935550926,304547.3660107187,125443.21193177819,160218.69635695042,226844.47397306116,219037.60621701926,275009.5981607569,190388.77626085826,264049.89561388636,182785.9755968844,245190.05582660576,149449.9218147829,134964.8245931639,133593.48419789725,122207.07605058403,194652.62010166128,212826.4603892979,197381.52531174244,231027.0105561202,205934.00247926233,169466.36094653342,483421.52023220825,232535.40944370834,238700.71525560922,136637.5403734288,149366.64297072776,166356.65923171953,151939.9215248747,141417.2247851313,170318.03703284904,121466.56276872467,113473.1476915152,270930.3233844308,102745.70813039324,126122.21750417688,120246.06043086166,169639.97337613197,120030.55748235807,127632.95113911525
2014-08-01,169588.0501172294,394243.6270972446,164593.44410123257,158683.32644933206,240030.3472494712,277153.421282151,339291.9113306712,264312.85424795654,247431.636858427,195321.09465722725,231297.53552352518,166382.18643903025,469057.1465291283,304773.49321853236,126300.5349202431,160438.94568251816,227291.59754634157,219652.38081034273,275164.21466352144,190774.12257471716,264668.82124584686,183495.71317288573,246401.41263348146,150142.03997317536,135426.1645137481,134233.27873189058,122788.62315154052,194995.102896814,214489.17718122326,198724.44392983566,231711.103073054,207006.7551185689,170205.10066662656,485747.4378006154,232557.29737432286,239310.2032190451,136916.07299666692,149811.59513340224,166653.84225509618,152266.75776555543,141968.96881635048,170215.3732068882,121873.22057731356,113913.66173586021,271413.53920352313,103768.37280489593,126684.0115256625,121246.86777761392,170444.08006478485,120596.37264197586,128045.6896542132
2014-09-01,170634.53064777047,396749.78383531,164617.23330038143,159620.88594764148,240408.53659627415,277785.5261175984,339910.831496316,266358.32377242326,247061.3986805218,195821.84144366928,231954.07709702043,167007.037943161,471635.3386431001,305094.6732457503,126899.6311455343,160605.0944361623,227637.12987001715,220481.46153981253,275715.2616359614,190948.42770821974,265517.7054198075,184212.144348584,247806.786469413,150766.60998947817,135483.94810182377,134628.89400606242,123233.80036274128,195356.38274451543,216133.12387133203,199746.10926003172,232766.72551743442,208131.40053159534,170769.79317794237,489016.75541009475,232825.794283421,239951.9825081937,137057.11874235258,150117.72462030474,166677.5194291397,152489.76538100862,142322.81506762627,170135.38729616933,122081.94750672857,114056.52205489289,273156.05224867706,104755.59274214956,127112.24806393671,122147.64486533374,171144.65047964736,121063.49673702708,128402.30519785905
2014-10-01,171512.7598594828,399928.9212055945,164272.55399237495,160285.61204613422,240648.95723305704,278275.73968497384,340223.3295430585,268571.74445170444,246401.6615130772,196111.17972596813,232424.46472786387,167380.78724435184,473821.86940304906,305288.99270245305,127063.65194215742,160602.03163250446,227862.15173717824,221008.12945835167,276319.70760293567,190651.23707482728,266384.1239647242,184627.98697819628,249118.30342874353,151241.76027089628,134984.84034086062,134712.07502252277,123351.78942407198,195591.63055408318,217593.70566710632,200407.81346702357,233531.37361551265,208679.9959652823,171094.10533696623,492036.248634104,233051.85538041894,240058.42323586854,136815.29908284408,150247.29633866658,166415.81579646026,152482.09461609824,142467.84507587552,169940.71182665278,121985.48084939894,113918.17835387902,274386.10724368977,105374.4519507982,127442.7872520422,122766.98976055095,171418.67283977193,121366.04219053335,128491.07285782097
2014-11-01,172610.26846120995,403491.72713258193,164056.83955144804,161125.69511658876,240890.56569417426,278949.0697060848,341028.6253787952,271056.73499027034,246148.50024955333,196554.26028030043,232944.2721796209,167734.57958074048,476206.9703041888,305388.8210605113,127279.64538939552,160748.82723007887,228236.9993671057,221454.54338695368,277039.54532683006,190369.2272426785,267647.0680858184,184870.75009717548,250560.5451813013,151805.03032120815,134652.68064551763,134808.35506161672,123426.9352332466,195928.62710557992,219130.08978269703,201555.68727357042,234460.64048773036,209387.5405935841,171782.7935870357,495029.3228479911,233561.7919890176,239941.47030225638,136534.71128849435,150610.5498217933,166244.16082173763,152641.6533620548,142618.37231552807,170025.17734719606,121947.49238936156,113778.62528114062,275722.413094651,106112.79047214448,127756.91240457952,123332.09520026333,171519.27749429896,121796.86102095431,128547.89010852094
